Customer ID,Frequency,Monetary,First Purchase Date,Last Purchase Date,Customer Lifespan,Recency,Average Purchase Interval,Median Purchase Interval,returned_in_validation,observed_churn
12346.0,12,77556.46,2009-12-14 08:34:00,2011-01-18 10:01:00,400,234,35.90909090909091,7.0,0,1
12347.0,6,3402.3900000000003,2010-10-31 14:20:00,2011-08-02 08:48:00,274,38,54.4,53.0,1,0
12348.0,4,1709.4,2010-09-27 14:59:00,2011-04-05 10:47:00,189,157,63.0,70.0,1,0
12349.0,3,2671.1400000000003,2010-04-29 13:20:00,2010-10-28 08:23:00,181,316,90.0,90.0,1,0
12352.0,7,1905.61,2010-11-12 10:20:00,2011-03-22 16:08:00,130,171,21.5,14.5,1,0
12353.0,2,406.76,2010-10-27 12:44:00,2011-05-19 17:47:00,204,113,204.0,204.0,0,1
12355.0,2,947.6099999999999,2010-05-21 11:59:00,2011-05-09 13:49:00,353,123,353.0,353.0,0,1
12356.0,5,6313.380000000001,2010-10-11 09:42:00,2011-04-08 12:33:00,179,154,44.25,42.5,1,0
12357.0,2,12079.990000000002,2010-11-16 10:05:00,2010-11-16 14:29:00,0,297,0.0,0.0,1,0
12358.0,4,3203.87,2009-12-08 07:59:00,2011-07-12 10:04:00,581,59,193.0,181.0,1,0
12359.0,9,6059.09,2009-12-05 13:32:00,2011-06-03 12:26:00,544,98,67.75,86.0,1,0
12360.0,7,3209.11,2010-02-22 09:32:00,2011-08-19 10:10:00,543,21,90.0,74.5,1,0
12361.0,4,511.24999999999994,2010-01-26 14:37:00,2011-02-25 13:51:00,394,196,131.0,116.0,0,1
12362.0,5,1877.35,2009-12-01 10:10:00,2011-08-11 15:02:00,618,29,154.25,69.5,1,0
12363.0,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,18,132.0,132.0,0,1
12365.0,2,641.3799999999999,2011-02-21 13:51:00,2011-02-21 14:04:00,0,200,0.0,0.0,0,1
12369.0,3,1791.1499999999999,2010-03-08 08:09:00,2010-10-22 13:13:00,228,322,113.5,113.5,0,1
12370.0,6,3577.2799999999997,2010-02-09 09:41:00,2011-03-10 12:48:00,394,183,78.6,44.0,1,0
12371.0,3,2179.42,2010-03-04 18:23:00,2010-10-26 13:37:00,235,318,117.5,117.5,1,0
12372.0,2,914.9199999999998,2011-02-16 12:46:00,2011-05-11 10:43:00,83,121,83.0,83.0,1,0
12373.0,3,1127.65,2010-02-04 12:08:00,2011-02-01 13:10:00,362,220,180.5,180.5,0,1
