customer_id,churn_probability,risk_segment,frequency,monetary,recency,customer_lifespan,avg_purchase_interval,median_purchase_interval,average_order_value,revenue_exposure
12346,0.5996865081839687,MEDIUM,12,77556.46,234,400,35.90909090909091,7.0,6463.038333333334,46509.56268450965
12347,0.1743595937690497,LOW,6,3402.3900000000003,38,274,54.4,53.0,567.065,593.239338243877
12348,0.3696234076411411,LOW,4,1709.4,157,189,63.0,70.0,427.35,631.8342530217666
12349,0.4100240856724483,MEDIUM,3,2671.1400000000003,316,181,90.0,90.0,890.3800000000001,1095.2317362031038
12352,0.3329430088932158,LOW,7,1905.61,171,130,21.5,14.5,272.22999999999996,634.459527177001
12353,0.6177028406383976,MEDIUM,2,406.76,113,204,204.0,204.0,203.38,251.25680745807463
12355,0.756481365104065,HIGH,2,947.61,123,353,353.0,353.0,473.805,716.849306386263
12356,0.2402952212265526,LOW,5,6313.380000000001,154,179,44.25,42.5,1262.6760000000002,1517.075043787293
12357,0.6088944203310966,MEDIUM,2,12079.990000000002,297,0,0.0,0.0,6039.995000000001,7355.438508655445
12358,0.4824269973798669,MEDIUM,4,3203.87,59,581,193.0,181.0,800.9675,1545.6333840954342
12359,0.1396572805969172,LOW,9,6059.09,98,544,67.75,86.0,673.2322222222223,846.1960322919751
12360,0.2519157512386832,LOW,7,3209.11,21,543,90.0,74.5,458.44428571428574,808.4253564575707
12361,0.5761531769252172,MEDIUM,4,511.25,196,394,131.0,116.0,127.8125,294.5583117030173
12362,0.3517098694976502,LOW,5,1877.35,29,618,154.25,69.5,375.46999999999997,660.2825235014136
12363,0.4343476379812531,MEDIUM,2,552.0,18,132,132.0,132.0,276.0,239.7598961656517
12365,0.7571961418409201,HIGH,2,641.3799999999999,200,0,0.0,0.0,320.68999999999994,485.65046145392927
12369,0.6104115776317894,MEDIUM,3,1791.15,322,228,113.5,113.5,597.0500000000001,1093.3386972751798
12370,0.4413021149366248,MEDIUM,6,3577.28,183,394,78.6,44.0,596.2133333333334,1578.6612297204892
12371,0.5284825896247587,MEDIUM,3,2179.42,318,235,117.5,117.5,726.4733333333334,1151.7855254799915
12372,0.3503622629466688,LOW,2,914.9199999999998,121,83,83.0,83.0,457.4599999999999,320.55344161516615
12373,0.6932274245974199,MEDIUM,3,1127.65,220,362,180.5,180.5,375.8833333333334,781.7179053472806
12374,0.4752072888513391,MEDIUM,3,2246.29,330,166,83.0,83.0,748.7633333333333,1067.4533808738745
12376,0.7404614736915839,HIGH,2,503.15,298,28,28.0,28.0,251.575,372.5631904879204
12377,0.596373684184994,MEDIUM,4,3426.32,224,274,91.0,39.0,856.58,2043.367081596729
12378,0.8764962779507269,HIGH,2,5416.32,38,432,432.0,432.0,2708.16,4747.384320190081
12379,0.649255558494238,MEDIUM,3,1227.8200000000002,79,364,182.0,182.0,409.27333333333337,797.1689598303954
12380,0.1781058021792086,LOW,8,7559.040000000001,94,476,67.85714285714286,16.0,944.8800000000001,1346.3088829047251
12383,0.3243338437680813,LOW,5,1850.56,93,167,41.25,42.5,370.11199999999997,600.1992379234605
12386,0.7253993650230355,HIGH,2,401.9,246,29,29.0,29.0,200.95,291.53800480275794
12388,0.3737122229719271,LOW,6,2788.79,57,434,86.2,118.0,464.79833333333335,1042.2049103018805
12389,0.6336503649769178,MEDIUM,3,1433.33,311,253,126.0,126.0,477.77666666666664,908.2300776323656
12391,0.6606823027230001,MEDIUM,5,2285.1800000000003,373,198,49.5,32.5,457.03600000000006,1509.7779845365455
12393,0.3141424959379013,LOW,5,1877.95,154,182,45.25,47.5,375.59000000000003,589.9439002465817
12395,0.2172329712605673,LOW,11,3602.11,21,490,48.6,46.0,327.4645454545455,782.497058107402
12399,0.3364546516735448,LOW,7,1962.3000000000004,28,525,87.33333333333333,94.0,280.3285714285715,660.2249629789972
12402,0.6223488059616844,MEDIUM,6,1256.9000000000003,232,347,69.0,69.0,209.48333333333338,782.2302142132413
12406,0.4761816998244381,MEDIUM,4,4596.31,92,513,170.66666666666666,196.0,1149.0775,2188.6787087200632
12407,0.2747658775745244,LOW,4,1407.36,43,130,42.66666666666666,28.0,351.84,386.69450546328267
12408,0.183361477058248,LOW,7,3586.2700000000004,7,399,66.16666666666667,70.5,512.3242857142858,657.5837643296832
12409,0.3005064486174678,LOW,5,18553.7,91,382,95.25,64.0,3710.7400000000002,5575.506495713912
12410,0.6847304117334172,MEDIUM,3,1013.71,217,193,96.5,96.5,337.90333333333336,694.1180656782824
12412,0.3093311997994057,LOW,5,2260.790000000001,46,401,100.0,68.5,452.1580000000002,699.3328831944987
12413,0.5275049040719264,MEDIUM,3,805.25,145,166,82.5,82.5,268.4166666666667,424.77332400391873
12414,0.5971429350143215,MEDIUM,6,952.41,126,246,49.0,10.0,158.73499999999999,568.7249027369899
12415,0.0956463762144375,LOW,22,121631.72,8,428,19.95238095238096,16.0,5528.714545454545,11633.633250729123
12417,0.0866151301383749,LOW,18,5964.83,15,626,36.41176470588236,37.0,331.37944444444446,516.6445267032827
12418,0.664873547757404,MEDIUM,4,2021.2,21,517,172.0,162.0,505.3,1343.8424147272651
12419,0.7404614736915839,HIGH,2,503.01,294,27,27.0,27.0,251.505,372.4595258816036
12421,0.3404627889483355,LOW,5,920.12,23,390,97.25,93.0,184.024,313.2666213671424
12422,0.0831261320229464,LOW,17,5231.800000000001,4,625,38.5,25.5,307.75294117647064,434.89929751765106
12423,0.1560038613747181,LOW,9,2413.75,9,364,45.0,39.0,268.19444444444446,376.55432039322585
12424,0.4048551828311707,MEDIUM,4,3340.03,71,385,128.33333333333334,125.0,835.0075,1352.2284563115952
12426,0.9114082879873728,HIGH,2,1345.21,103,468,468.0,468.0,672.605,1226.0355430834938
12428,0.1330101610428536,LOW,8,7548.120000000001,29,163,23.0,11.0,943.5150000000001,1003.9766567707842
12429,0.2131247208314702,LOW,7,5298.889999999999,81,373,62.0,65.0,756.9842857142856,1129.324451966669
12431,0.0794811734696854,LOW,23,8819.34,28,574,25.727272727272727,16.5,383.4495652173913,700.9714924281353
12432,0.4950679218653623,MEDIUM,3,4016.66,79,1,0.5,0.5,1338.8866666666665,1988.519519039726
12433,0.1530219102882057,LOW,6,9813.5,0,385,76.6,27.0,1635.5833333333333,1501.6805166133065
12434,0.6002278404941047,MEDIUM,2,583.54,169,120,120.0,120.0,291.77,350.2569540419298
